NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,PAKIRANJE,MARKA,MALOPRODAJNA_CIJENA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
Milka Noisette,0000005,0.08,80g,Pakovanje,,1.99,24.88,7622210043955,Hrana,1.99
Mineralna voda gazirana,0000007,1.5,"1,5l",PET-Boca,Saguaro,0.4,0.27,4056489796367,Piæe,0.45
Mineralna voda gazirana,0000007,1.5,"1,5l",PET-Boca,Saguaro,0.4,0.27,4304493256590,Piæe,0.45
TUC Krekeri SK1,0000011,0.1,100g,Pakovanje,,1.15,11.5,5410041435702,Hrana,1.15
Always Ultra higijenski ulošci BA,0000017,0.058,"9 komada, 10 komada, 14 komada",Pakovanje,,1.66,0.12,4015400931225,Proizvodi za kuæanstvo,1.66
Always Ultra higijenski ulošci BA,0000017,0.058,"9 komada, 10 komada, 14 komada",Pakovanje,,1.66,0.18,8001841263854,Proizvodi za kuæanstvo,1.66
Lenor Omekšivaè G. Orchid 48 pranja,0000087,1.42,"1,42l",PET-Boca,,5.57,3.92,8001841375885,Sredstva za èišæenje,5.57
Lenor Omekšivaè Spring Awakening,0000115,3.2,"2x1,6l",PET-Boca,,5.99,1.87,8700216108904,Sredstva za èišæenje,5.99
Jar deter. za pranje suða Aloe & P.,0000195,1.376,"1,35l",PET-Boca,,3.49,2.59,8001841009544,Sredstva za èišæenje,3.49
Perwoll Tekuæi deter. Color 73pr.,0000331,4.12,"4,015l",PET-Boca,Henkel,9.35,2.33,9000101576955,Sredstva za èišæenje,9.35
Head & Shoulders šampon SK,0000344,0.516,500ml,PET-Boca,,6.59,13.18,8700216305303,Kozmetika,6.59
Silan Omekšivaè Aromatherapy Fra.,0000345,2.772,"2,772l",PET-Boca,Henkel,5.99,2.16,9000101581874,Sredstva za èišæenje,5.99
Pedigree Pseæe poslastice sort SK2,0000347,0.133,"123g,200g,77g",Vrecica,Mars,1.79,14.55,5998749141007,Proizvodi za kuæanstvo,1.79
Gillette Venus Smooth brijaè+patro.,0000371,0.039,1komad,Pakovanje,,10.99,10.99,8700216090254,Kozmetika,10.99
Silan Omekšivaè Sensitive 130pr.,0000451,2.86,"2,86l",PET-Boca,Henkel,5.99,2.09,9000101590128,Sredstva za èišæenje,5.99
Somat Sol za perilicu posuða,0000460,1.5,"1,5kg",Kart. na prekl.,Henkel,2.29,1.53,9000100147293,Sredstva za èišæenje,2.29
Somat Gel Excellence Duo Mega. Lem.,0000470,1.318,2x540ml,PET-Boca,,10.39,9.62,9000101819472,Sredstva za èišæenje,12.99
Purina one hrana za pse puretina,0000486,0.34,4x85g,Pakovanje,,2.79,8.21,8445290299079,Proizvodi za kuæanstvo,2.79
Krem sladoled orah,0001125,0.534,1000ml,Plitica,Bon Gelati,3.99,3.99,20086091,Hrana,3.99
"Pommes Frites, 2,5kg",0001172,2.5,"2,5kg",Vrecica,Harvest Basket,4.89,1.96,20073459,Hrana,4.89
"Pureæi Cordon Bleu, smrznuto",0001181,1,1000g,Vrecica,Culinea,4.49,4.49,20093853,Hrana,4.49
"Pureæi Cordon Bleu, smrznuto",0001181,1,1000g,Vrecica,Culinea,4.49,4.49,20093877,Hrana,4.49
Kornet jagoda,0001183,0.07,120ml,Pakovanje,Ballino,0.59,4.92,20252243,Hrana,0.59
Kornet jagoda,0001183,0.07,120ml,Pakovanje,Ballino,0.59,4.92,20980238,Hrana,0.59
Sladoled kneževa rolada,0001190,0.49,1l,Kart. na prekl.,Ballino,2.99,2.99,20125134,Hrana,2.99
Sladoled u kornetu - vanilija,0001247,0.074,120ml,Pakovanje,Ballino,0.59,4.92,4056489799108,Hrana,0.59
Nescafé Classic,0001252,0.2,200g,Limenka,Nestlé,9.99,49.95,7891000088968,Piæe,8.99
"Jadranska srdela, cijela, smrz.",0001258,1,1kg,Vrecica,Okusi zavièaja,3.49,3.49,20308797,Hrana,3.49
"Dukatos Natur jogurt, 150g",0001265,0.15,150g,Posudica,,0.99,6.6,3850354009726,Hrana,0.99
Èokolada s rižom XXL,0001358,0.3,300g,Tabla,Fin Carré,3.65,12.17,20660772,Hrana,3.65
Sezam ploèice SK7,0001419,0.081,3x27g,Pakovanje,Crownfield,0.44,5.43,20190576,Hrana,0.49
Sezam ploèice SK7,0001419,0.081,3x27g,Pakovanje,Crownfield,0.44,5.43,5907751602611,Hrana,0.49
"Pileæa prsa u ovitku, 500g",0001518,0.5,500g,Stanga,Pikok,3.69,7.38,20903831,Hrana,3.69
"Jogurt èvrsti 3,2% m.m.",0001566,0.18,180g,Posudica,Pilos,0.37,2.06,20447670,Hrana,0.37
"Jogurt èvrsti 3,2% m.m.",0001566,0.18,180g,Posudica,Pilos,0.37,2.06,3859889264402,Hrana,0.37
"Tekuæi jogurt 2,8% m.m.",0001572,0.18,180g,Posudica,Pilos,0.37,2.06,3859888148888,Hrana,0.37
"b.Aktiv s LGG natur, 150g",0001614,0.15,150g,Posudica,,0.65,4.33,3850354019121,Hrana,0.65
"Osjeèka/Dalmatinska kob. SK1, SK2",0001727,0.1,100g,Atmos-Pakiranje,Okusi zavièaja,1.29,12.9,20491949,Hrana,2.19
Gouda sir,0001744,0.5,500g,Pakovanje,Pilos,4.99,9.98,20385330,Hrana,4.99
"Janjetina, bez glave, cca. 2kg",0001763,1,cca. 2kg,Atmos-Pakiranje,Naša mesnica,14.99,14.99,2123843000000,Hrana,14.99
"Voæni jogurt 1,8%, SK45, SK46",0001798,0.25,250g,Posudica,Milbona,0.79,3.16,20039363,Hrana,0.79
"Voæni jogurt 1,8%, SK45, SK46",0001798,0.25,250g,Posudica,Milbona,0.79,3.16,4056489232650,Hrana,0.79
Jogurt Duo èokolada SK14,0001804,0.175,175g,Posudica,Pilos,0.89,5.09,20097721,Hrana,0.89
Pripr. od svj. sira s voæem SK4,0001817,0.125,125g,Posudica,Milbona,0.55,4.4,20050320,Hrana,0.55
Svježa pileæa krila,0001915,1,ca. 500g,Atmos-Pakiranje,Naša mesnica,2.99,2.99,2852006000000,Hrana,4.19
Svježa pileæa krila,0001915,1,ca. 500g,Atmos-Pakiranje,Naša mesnica,2.99,2.99,2891980000000,Hrana,4.19
Meki kravlji sir 45% m.m.,0001931,0.25,250g,Pakovanje,Milbona,2.29,9.16,20002251,Hrana,2.29
Meki kravlji sir 45% m.m.,0001931,0.25,250g,Pakovanje,Milbona,2.29,9.16,4056489203285,Hrana,2.29
"Dim. svinjska koljenica, cca. 1,4kg",0001936,1,"ca. 1,4kg",Vakumir. pakov.,Pikok,6.99,6.99,2113440000000,Hrana,6.99
"Rolana lopatica bez kože cca. 1,3kg",0001994,1,"ca. 1,3kg",Vakumir. pakov.,Pikok,5.75,5.75,2819940000000,Hrana,5.75
"Rolana lopatica bez kože cca. 1,3kg",0001994,1,"ca. 1,3kg",Vakumir. pakov.,Pikok,5.75,5.75,2819945000000,Hrana,5.75
"Rolana lopatica bez kože cca. 1,3kg",0001994,1,"ca. 1,3kg",Vakumir. pakov.,Pikok,5.75,5.75,2847715000000,Hrana,5.75
"Dukat Vrhnje za kuh. 20%, 500g",0002023,0.5,500g,Pakovanje,,3.39,6.78,3850354017172,Hrana,3.39
Mljeveni crni papar,0002095,0.1,100g,Vrecica,Kania,1.49,14.9,20919627,Hrana,1.79
Fritt Voæne karamele SK18 ,0002167,0.07,70g,Pakovanje,,0.99,14.14,4000607523205,Hrana,0.99
Fritt Voæne karamele SK18 ,0002167,0.07,70g,Pakovanje,,0.99,14.14,5901783034242,Hrana,0.99
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Kart. na prekl.,Nestlé,4.19,29.1,5011546477633,Piæe,4.19
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Kart. na prekl.,Nestlé,4.19,37.41,7613034172181,Piæe,4.19
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Kart. na prekl.,Nestlé,4.19,30.81,7613034172181,Piæe,4.19
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Kart. na prekl.,Nestlé,4.19,30.81,7613034532275,Piæe,4.19
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Kart. na prekl.,Nestlé,4.19,30.81,7613035440081,Piæe,4.19
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Kart. na prekl.,Nestlé,4.19,37.41,7613035705746,Piæe,4.19
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Kart. na prekl.,Nestlé,4.19,30.81,7613036204897,Piæe,4.19
Kiara Kristal šeæer 1kg ,0002220,1,1kg,Vrecica,,0.99,0.99,3859888117105,Hrana,0.99
Kiara Kristal šeæer 1kg ,0002220,1,1kg,Vrecica,,0.99,0.99,9007829021019,Hrana,0.99
"Brašno TIP 550 glatko, 1kg",0002225,1,1kg,Pakovanje,Belbake,0.68,0.68,3859892051044,Hrana,0.75
"Brašno TIP 550 glatko, 1kg",0002225,1,1kg,Pakovanje,Belbake,0.68,0.68,4056489316084,Hrana,0.75
Riža okruglog zrna Originario,0002273,1,1kg,Kart. na prekl.,Golden Sun,1.99,1.99,4056489534273,Hrana,1.99
Namaz od obranog mlijeka i kakaa,0002345,0.75,750g,Staklo,Mister Choc,3.69,4.92,20003555,Hrana,3.69
Sterilizirani crveni grah,0002494,0.41,425ml,Limenka,Freshona,0.79,3.1,20004231,Hrana,0.79
Sterilizirani grah borlotti,0002496,0.4,425ml,Limenka,Freshona,0.59,2.46,20009809,Hrana,0.59
"Džem od jagode, 450g",0002602,0.45,450g,Staklo,Maribel,2.39,5.31,20000653,Hrana,2.59
"Sprite, 2l ",0002668,2.08,2l,PET-Boca,Coca-Cola,2.28,1.14,5449000335036,Piæe,2.28
"Soft cake naranèa, 150g",0002742,0.15,150g,Pakovanje,Tastino,1.15,7.67,20051716,Hrana,1.15
Mlijeèna èokolada s lješnjacima,0002814,0.1,100g,Tabla,Fin Carré,1.39,13.9,20029838,Hrana,1.39
Airwaves žvakaæe gume SK2,0002906,0.014,14g,Pakovanje,Mars,0.99,0.99,42124139,Hrana,0.99
Airwaves žvakaæe gume SK2,0002906,0.014,14g,Pakovanje,Mars,0.99,0.99,42189633,Hrana,0.99
Milka Èokolada sort.,0002911,0.281,"270g, 276g, 300g",Pakovanje,,5.99,22.19,7622200004607,Hrana,5.99
Milka Èokolada sort.,0002911,0.281,"270g, 276g, 300g",Pakovanje,,5.99,21.7,7622200009084,Hrana,5.99
Milka Èokolada sort.,0002911,0.281,"270g, 276g, 300g",Pakovanje,,5.99,22.19,7622210273178,Hrana,5.99
Milka Èokolada sort.,0002911,0.281,"270g, 276g, 300g",Pakovanje,,5.99,19.97,7622210275516,Hrana,5.99
Milka Èokolada sort.,0002911,0.281,"270g, 276g, 300g",Pakovanje,,5.99,21.7,7622210702562,Hrana,5.99
Milka Èokolada sort.,0002911,0.281,"270g, 276g, 300g",Pakovanje,,5.99,21.7,7622300134532,Hrana,5.99
Milka Èokolada sort.,0002911,0.281,"270g, 276g, 300g",Pakovanje,,5.99,21.7,7622400717055,Hrana,5.99
"Biskvit SK2, SK13 400g",0002940,0.4,400g,Pakovanje,Confiserie Firenze,2.49,6.23,20139766,Hrana,2.69
"London Dry Gin 37,5% Vol.",0003000,0.67,"0,7l",Boca,Castelgy,5.69,8.13,4304493262256,Piæe,5.69
Kompletna hrana za maèke SK19,0003002,0.1,100g,Plitica,Coshida,0.45,4.5,20106775,Proizvodi za kuæanstvo,0.45
Kompletna hrana za maèke SK19,0003002,0.1,100g,Plitica,Coshida,0.45,4.5,20302498,Proizvodi za kuæanstvo,0.45
Kompletna hrana za maèke SK19,0003002,0.1,100g,Plitica,Coshida,0.45,4.5,20407490,Proizvodi za kuæanstvo,0.45
"Whiskas Izab. obroci, 4x100g SK1",0003004,0.4,4x100g,Pakovanje,Mars,2.37,5.93,4770608259303,Proizvodi za kuæanstvo,2.37
Potpuna hrana za pse SK1,0003024,10,10kg,Vrecica,Orlando,11.89,1.19,4056489142249,Proizvodi za kuæanstvo,11.89
Potpuna suha hrana za pse s inulin.,0003025,3,3kg,Vrecica,Orlando,5.49,1.83,4056489142676,Proizvodi za kuæanstvo,5.49
Šampon za svakodne. pranje kose SK6,0003034,0.515,500ml,PET-Boca,Cien,0.95,1.9,20208837,Kozmetika,1.39
Pro Vitamin šam. za njegu kose SK13,0003035,0.31,300ml,PET-Boca,Cien,1.29,4.3,20159382,Kozmetika,1.29
Pro Vitamin šam. za njegu kose SK13,0003035,0.31,300ml,PET-Boca,Cien,1.29,4.3,20159405,Kozmetika,1.29
